ID,item_cnt_month
2587,0.14001864
7687,0.07743698
12787,0.18022129
17887,0.09935185
22987,0.07942757
28087,0.07942757
33187,0.07743698
38287,0.0911679
43387,0.17367074
48487,0.257033
53587,0.14001864
58687,0.2893386
63787,0.07942757
68887,0.07851082
73987,0.09166813
79087,0.07942757
84187,0.07743698
89287,0.07851082
94387,0.14001864
99487,0.07851082
104587,0.13312986
109687,0.07743698
114787,0.0
119887,0.10060033
124987,0.07743698
130087,0.07942757
135187,0.08489826
140287,0.16532177
145387,0.07942757
150487,0.07851082
155587,0.0
160687,0.07851082
165787,0.0
170887,0.07851082
175987,0.07942757
181087,0.07942757
186187,0.0
191287,0.14409003
196387,0.07743698
201487,0.1389448
206587,0.0
211687,0.07743698
594,0.07851082
5694,0.1389448
10794,0.6783912
15894,0.07743698
20994,0.2045064
26094,0.19041592
31194,0.16690692
36294,0.5462035
41394,0.38195685
46494,0.48063347
51594,0.10042569
56694,0.53781974
61794,0.21515554
66894,0.07851082
71994,0.31106758
77094,0.31408834
82194,0.07743698
87294,0.26532227
92394,0.4133816
97494,0.16798076
102594,1.0886517
107694,0.20959806
112794,0.15317592
117894,0.10134244
122994,0.07743698
128094,0.26623902
133194,0.3407318
138294,0.26623902
143394,0.2045064
148494,0.4504631
153594,0.0
158694,0.14323232
163794,0.0
168894,0.37286162
173994,0.5467558
179094,0.07942757
184194,0.21838963
189294,0.23246086
194394,0.14215848
199494,0.07743698
204594,0.34554183
209694,0.43865007
595,0.12159848
5695,0.2863839
10795,0.50219315
15895,0.1389448
20995,0.15317592
26095,0.84456074
31195,0.07743698
36295,0.0911679
41395,0.4038427
46495,2.250341
51595,0.38386935
56695,1.2599423
61795,0.07942757
66895,0.43117446
71995,0.33076358
77095,0.199146
82195,0.32899445
87295,0.09075138
92395,0.20358965
97495,0.69584996
102595,0.5240654
107695,0.21639904
112795,0.09189811
117895,0.22641066
122995,0.29745317
128095,0.16532177
133195,0.14640608
138295,0.44350505
143395,0.35848212
148495,0.07851082
153595,0.0
158695,0.4060173
163795,0.0
168895,0.090981364
173995,0.18342441
179095,0.07942757
184195,0.0
189295,0.23063016
194395,0.07743698
199495,0.27674747
204595,0.2045064
209695,0.1389448
2092,0.25501084
7192,0.1389448
12292,0.23382205
17392,0.07743698
22492,0.22641066
27592,0.10134244
32692,0.09935185
37792,0.1248112
42892,0.08489826
47992,0.9890344
53092,0.3902529
58192,0.99958724
63292,0.29545933
68392,0.18022129
73492,0.13159096
78592,0.12251523
83692,0.20572948
88792,0.07851082
93892,0.07851082
98992,0.10042569
104092,0.43477386
109192,0.25616276
114292,0.2045064
119392,0.07942757
124492,0.21639904
129592,0.07942757
134692,0.14640608
139792,0.9143869
144892,0.07942757
149992,0.10042569
155092,0.0
160192,0.09075138
165292,0.18668279
170392,0.14001864
175492,0.49123493
180592,0.07942757
185692,0.09189811
190792,0.4925717
195892,0.16919327
200992,0.07743698
206092,0.199146
211192,0.16690692
2091,0.0
7191,0.07743698
12291,0.07851082
17391,0.0
22491,0.0
27591,0.0
32691,0.09935185
37791,0.15267572
42891,0.15864661
47991,0.3262927
53091,0.07851082
58191,0.1908746
63291,0.14093539
68391,0.07851082
73491,0.0
78591,0.07942757
83691,0.1389448
88791,0.0
93891,0.0
98991,0.103639364
104091,0.30368695
109191,0.0
114291,0.0
119391,0.0
124491,0.07743698
129591,0.07942757
134691,0.08489826
139791,0.07942757
144891,0.07942757
149991,0.07851082
155091,0.0
160191,0.07851082
165291,0.0
170391,0.0
175491,0.0
180591,0.0
185691,0.0
190791,0.09166813
195891,0.0
200991,0.07743698
206091,0.07942757
211191,0.07743698
2090,0.0
7190,0.0
12290,0.07851082
17390,0.0
22490,0.0
27590,0.0
32690,0.0
37790,0.0
42890,0.08489826
47990,0.11551905
53090,0.07851082
58190,0.12724745
63290,0.07942757
68390,0.07851082
73490,0.16889751
78590,0.0
83690,0.07743698
88790,0.0
93890,0.0
98990,0.0
104090,0.0888035
109190,0.0
114290,0.0
119390,0.0
124490,0.07743698
129590,0.0
134690,0.0
139790,0.07942757
144890,0.0
149990,0.0
155090,0.0
160190,0.20358965
165290,0.0
170390,0.07851082
175490,0.0
180590,0.0
185690,0.0
190790,0.0
195890,0.0
200990,0.0
206090,0.0
211190,0.0
2089,0.0
7189,0.0
12289,0.07851082
17389,0.0
22489,0.0
27589,0.0
32689,0.0
37789,0.0911679
42889,0.08489826
47989,0.99385405
53089,0.07851082
58189,0.3381642
63289,0.07942757
68389,0.07851082
73489,0.07942757
78589,0.0
83689,0.07743698
88789,0.0
93889,0.0
98989,0.0
104089,0.15031132
109189,0.0
114289,0.0
119389,0.0
124489,0.16690692
129589,0.0
134689,0.0
139789,0.14093539
144889,0.0
149989,0.0
155089,0.0
160189,0.11266625
165289,0.0
170389,0.0
175489,0.0
180589,0.0
185689,0.0
190789,0.0
195889,0.0
200989,0.0
206089,0.0
211189,0.0
1691,0.0
6791,0.07743698
11891,0.07851082
16991,0.0
22091,0.0
27191,0.0
32291,0.07743698
37391,0.0
42491,0.08489826
47591,0.21183357
52691,0.07851082
57791,0.16991499
62891,0.07942757
67991,0.07851082
73091,0.3351286
78191,0.0
83291,0.0
88391,0.0
93491,0.0
98591,0.07851082
103691,0.20868978
108791,0.0
113891,0.0
118991,0.0
124091,0.07743698
129191,0.0
134291,0.0
139391,0.36472422
144491,0.0
149591,0.0
154691,0.0
159791,0.20358965
164891,0.0
169991,0.07851082
175091,0.0
180191,0.0
185291,0.0
190391,0.0
195491,0.0
200591,0.0
205691,0.0
210791,0.0
4427,0.0
9527,0.0
14627,0.07851082
19727,0.0
24827,0.07942757
29927,0.0
35027,0.0
40127,0.0911679
45227,0.08489826
50327,0.94667524
55427,0.07851082
60527,0.21289834
65627,0.07942757
70727,0.07851082
75827,0.16889751
80927,0.0
86027,0.07743698
91127,0.07851082
96227,0.07851082
101327,0.0
106427,0.31179252
111527,0.0
116627,0.0
121727,0.0
126827,0.07743698
131927,0.0
137027,0.0
142127,0.10134244
147227,0.0
152327,0.0
157427,0.0
162527,0.07851082
167627,0.0
172727,0.0
177827,0.0
182927,0.0
188027,0.0
193127,0.0
198227,0.0
203327,0.0
208427,0.0
213527,0.0
2088,0.0
7188,0.0
12288,0.07851082
17388,0.0
22488,0.0
27588,0.0
32688,0.0
37788,0.0911679
42888,0.08489826
47988,0.4805763
53088,0.07851082
58188,0.19787419
63288,0.07942757
68388,0.07851082
73488,0.21838963
78588,0.0
83688,0.07743698
88788,0.07851082
93888,0.0
98988,0.0
104088,0.15031132
109188,0.0
114288,0.0
119388,0.0
124488,0.07743698
129588,0.0
134688,0.0
139788,0.29335183
144888,0.0
149988,0.0
155088,0.0
